blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,average_throughput_count,average_throughput_mean,average_throughput_max,average_throughput_min,average_throughput_q25,average_throughput_q75,average_throughput_std,average_latency_count,average_latency_mean,average_latency_max,average_latency_min,average_latency_q25,average_latency_q75,average_latency_std,energy_count,energy_mean,energy_max,energy_min,energy_q25,energy_q75,energy_std,commit_number_mean,average_throughput_min_perc,average_throughput_max_perc,average_throughput_iqr,average_throughput_iqr_perc,average_throughput_delta_abs,average_throughput_std_perc,average_latency_min_perc,average_latency_max_perc,average_latency_iqr,average_latency_iqr_perc,average_latency_delta_abs,average_latency_std_perc,energy_min_perc,energy_max_perc,energy_iqr,energy_iqr_perc,energy_delta_abs,energy_std_perc
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,676.8462,744.5000,573.5000,656.8000,720.6000,56.5878,13,33.7692,43.0200,27.5500,30.7100,36.8900,4.3979,13,10.4612,13.4347,7.6499,9.7471,11.3001,1.7179,86244.8462,-15.2688,9.9955,63.8000,9.4261,171.0000,8.3605,-18.4169,27.3941,6.1800,18.3007,15.4700,13.0234,-26.8734,28.4240,1.5530,14.8457,5.7848,16.4219
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,405.3538,533.9000,263.2000,374.6000,440.1000,78.6234,13,45.9208,64.2500,38.2900,39.5400,47.7000,9.2654,13,10.2479,12.7940,7.6616,8.5479,11.3930,1.6186,51358.0769,-35.0691,31.7121,65.5000,16.1587,270.7000,19.3962,-16.6173,39.9149,8.1600,17.7697,25.9600,20.1769,-25.2370,24.8457,2.8451,27.7632,5.1324,15.7948
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,16,96.8375,277.4000,0.5000,20.8000,177.5750,96.1047,16,42.4525,65.2400,16.5300,21.8400,63.1925,21.0961,16,9.4617,12.2341,6.8082,8.2443,10.4622,1.4658,14832.2500,-99.4837,186.4593,156.7750,161.8949,276.9000,99.2433,-61.0624,53.6776,41.3525,97.4089,48.7100,49.6933,-28.0441,29.3013,2.2179,23.4410,5.4258,15.4917
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,50.8154,107.8000,6.0000,27.5000,69.8000,30.9973,13,80.8192,140.7900,53.1000,67.9800,87.4800,24.6327,13,9.2669,10.9841,6.6161,8.4212,10.7964,1.5472,8637.9231,-88.1926,112.1405,42.3000,83.2425,101.8000,60.9999,-34.2978,74.2036,19.5000,24.1279,87.6900,30.4787,-28.6052,18.5306,2.3752,25.6309,4.3680,16.6957
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,124.0231,158.2000,59.9000,117.6000,148.9000,30.6258,13,24.4800,36.0200,19.3600,22.8600,24.8500,3.8284,13,14.0809,18.2516,11.4733,12.2244,15.3058,1.9629,22424.6154,-51.7025,27.5569,31.3000,25.2372,98.3000,24.6936,-20.9150,47.1405,1.9900,8.1291,16.6600,15.6390,-18.5184,29.6198,3.0814,21.8834,6.7783,13.9404
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,106.6000,144.7000,52.2000,72.7000,127.9000,32.9245,13,39.9485,68.9600,26.9300,29.0900,50.1000,14.9317,13,14.8063,19.9245,10.6057,13.2737,15.9514,2.7566,19273.6923,-51.0319,35.7411,55.2000,51.7824,92.5000,30.8860,-32.5881,72.6224,21.0100,52.5928,42.0300,37.3774,-28.3706,34.5674,2.6777,18.0849,9.3188,18.6176
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,225.5385,312.5000,87.8000,208.8000,278.5000,62.0014,13,84.1031,103.7200,58.8100,79.6200,91.3400,12.0637,13,20.9025,24.0884,15.5571,20.2274,22.6093,2.4273,66070.3077,-61.0709,38.5573,69.7000,30.9038,224.7000,27.4904,-30.0739,23.3249,11.7200,13.9353,44.9100,14.3440,-25.5730,15.2419,2.3819,11.3955,8.5313,11.6127
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,227.9923,299.8000,142.6000,180.8000,264.0000,50.5942,13,100.1723,123.1300,78.8600,89.7600,108.1700,14.0235,13,20.9147,25.7913,16.0243,20.1657,22.2172,3.1470,67571.4615,-37.4540,31.4957,83.2000,36.4925,157.2000,22.1912,-21.2756,22.9182,18.4100,18.3783,44.2700,13.9994,-23.3824,23.3167,2.0516,9.8092,9.7670,15.0470
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,190.8077,192.5000,189.9000,189.9000,191.7000,1.0468,13,13.1454,13.3100,13.0100,13.1000,13.2000,0.0806,13,22.1351,24.6792,16.2189,21.7165,23.6911,2.4584,57229.6923,-0.4757,0.8869,1.8000,0.9434,2.6000,0.5486,-1.0299,1.2523,0.1000,0.7607,0.3000,0.6130,-26.7278,11.4933,1.9746,8.9206,8.4603,11.1065
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,190.8000,191.7000,189.8000,190.4000,191.1000,0.5553,13,13.3177,13.4800,13.1700,13.2200,13.3700,0.1035,13,22.8021,28.3360,17.1070,21.3004,24.4800,2.7793,57231.0769,-0.5241,0.4717,0.7000,0.3669,1.9000,0.2910,-1.1090,1.2187,0.1500,1.1263,0.3100,0.7768,-24.9766,24.2690,3.1796,13.9444,11.2290,12.1886
