hash,workload,run,mode,dataset,link_strategy,cores,ram,secondaries,network_size,dynamic,submit_number,commit_number,abort_number,average_load,average_throughput,average_latency,median_latency,start_bench,blockchain,MiB-Rx,MiB-Tx,energy,bandwidth,switch,latency
8c1850,10000,1,fat-tree-l,diablo,hop,8,16,10,1,0,1199990,69100,0,9960.1,573.5,43.02,44.81,2024-05-05 10:22:41.366,algorand,116.14,116.57,10.15653839587382,0.0,0,0
d9ef8a,paypal,1,fat-tree-l,diablo,hop,8,16,10,1,0,59990,57198,0,200.0,190.7,13.1,13.09,2024-05-05 09:53:28.629,algorand,10.61,10.72,24.67919742133686,0.0,0,0
a48990,visa,1,fat-tree-l,diablo,hop,8,16,10,1,0,540000,155619,0,1769.8,510.0,17.24,15.76,2024-05-05 10:12:05.660,algorand,36.35,36.92,23.42508577188309,0.0,0,0
ef10af,dota,1,fat-tree-l,diablo,hop,8,16,10,1,0,3678700,82918,0,12354.4,278.5,103.72,92.55,2024-05-05 10:49:36.183,algorand,82.74,79.91,20.233708292650284,0.0,0,0
1a234b,gafam,1,fat-tree-l,diablo,hop,8,16,10,1,0,30320,28063,0,167.7,155.2,23.77,20.33,2024-05-05 10:03:58.380,algorand,24.93,25.31,15.591565257580875,0.0,0,0
3fa6bd,football,1,fat-tree-l,diablo,hop,8,16,10,1,0,4056130,33332,0,30997.6,254.7,64.0,70.7,2024-05-05 10:36:18.321,algorand,181.9,179.31,10.62726212217767,0.0,0,0
db971b,gafam,1,full-mesh,diablo,hop,8,16,10,1,0,30320,28173,0,167.7,155.8,20.92,16.65,2024-04-28 13:50:47.962,algorand,25.79,25.26,11.781247477334157,0.0,0,0
ed1224,10000,1,full-mesh,diablo,hop,8,16,10,1,0,1199990,95680,0,9850.9,785.5,25.88,23.31,2024-04-28 13:42:46.759,algorand,26.97,25.92,8.64362835319447,0.0,0,0
e4128e,dota,1,full-mesh,diablo,hop,8,16,10,1,0,3678700,90688,0,11770.1,290.2,76.35,71.22,2024-04-28 14:17:29.382,algorand,48.1,57.31,25.069836893596246,0.0,0,0
9c59a9,football,1,full-mesh,diablo,hop,8,16,10,1,0,4056130,23390,0,26456.3,152.6,45.31,28.4,2024-04-28 14:03:55.244,algorand,89.46,119.3,10.181662255307254,0.0,0,0
3432ce,football,1,full-mesh,diablo,hop,8,16,10,1,0,4056130,9606,0,29218.5,69.2,25.24,18.39,2024-05-03 22:38:42.041,algorand,173.84,212.58,7.447472308579335,0.0,0,0
bb010b,visa,1,full-mesh,diablo,hop,8,16,10,1,0,540000,167400,0,1760.3,545.7,14.68,13.96,2024-05-03 22:14:04.515,algorand,35.89,36.58,19.26569964605584,0.0,0,0
4003e3,paypal,1,full-mesh,diablo,hop,8,16,10,1,0,59990,57986,0,200.0,193.3,11.65,11.65,2024-05-03 21:55:18.204,algorand,9.36,9.47,25.10500800610873,0.0,0,0
5376e1,gafam,1,full-mesh,diablo,hop,8,16,10,1,0,30320,28284,0,167.7,156.4,21.36,16.24,2024-05-03 22:05:53.084,algorand,23.54,23.92,19.157379974055672,0.0,0,0
273242,10000,1,full-mesh,diablo,hop,8,16,10,1,0,1199990,100859,0,9295.5,781.3,25.24,22.56,2024-05-03 22:24:43.584,algorand,118.79,119.5,9.390357541604354,0.0,0,0
96d2ae,10000,1,hypercube,diablo,hop,8,16,10,1,0,1199990,84308,0,9492.5,666.9,29.27,24.07,2024-05-05 11:40:39.780,algorand,126.66,131.97,9.794330529806295,0.0,0,0
ac04c4,football,1,hypercube,diablo,hop,8,16,10,1,0,4056130,33447,0,26137.4,215.5,54.29,73.26,2024-05-05 11:53:35.013,algorand,194.52,211.02,9.841035883103356,0.0,0,0
862244,gafam,1,hypercube,diablo,hop,8,16,10,1,0,30320,24438,0,167.7,135.2,21.79,20.88,2024-05-05 11:21:54.133,algorand,24.88,28.52,12.970562419605356,0.0,0,0
4afdb4,paypal,1,hypercube,diablo,hop,8,16,10,1,0,59990,57473,0,200.0,191.6,11.93,11.89,2024-05-05 11:11:25.345,algorand,10.23,10.39,21.230895581968944,0.0,0,0
6cb7aa,visa,1,hypercube,diablo,hop,8,16,10,1,0,540000,164055,0,1772.7,538.5,15.21,14.2,2024-05-05 11:30:03.538,algorand,36.78,39.33,19.755891998783564,0.0,0,0
822772,dota,1,hypercube,diablo,hop,8,16,10,1,0,3678700,62342,0,13279.6,225.0,85.97,74.59,2024-05-10 21:11:02.953,algorand,16.77,29.14,17.24210025334993,0.0,0,0
1a2467,10000,1,fat-tree-l,diablo,hop,8,16,10,1,0,1199990,87858,0,9402.5,688.4,36.89,28.5,2024-06-03 15:09:32.897,algorand,229.72,245.36,11.300143399971496,1.0,0,0
1a2467,10000,2,fat-tree-l,diablo,hop,8,16,10,1,0,1199990,92529,0,9345.2,720.6,36.92,25.84,2024-06-03 15:17:35.952,algorand,229.72,245.36,10.836501601334003,1.0,0,0
02a857,paypal,1,fat-tree-l,diablo,hop,8,16,10,1,0,59990,57447,0,200.0,191.5,13.01,13.0,2024-06-03 14:11:58.887,algorand,16.26,16.48,22.306292654255312,1.0,0,0
02a857,paypal,2,fat-tree-l,diablo,hop,8,16,10,1,0,59990,57622,0,200.0,192.1,13.14,13.13,2024-06-03 14:21:50.075,algorand,16.26,16.48,24.211738164029104,1.0,0,0
91671a,visa,1,fat-tree-l,diablo,hop,8,16,10,1,0,540000,156561,0,1772.8,514.0,16.88,15.74,2024-06-03 14:48:38.702,algorand,62.75,69.43,21.184968223495794,1.0,0,0
91671a,visa,2,fat-tree-l,diablo,hop,8,16,10,1,0,540000,157104,0,1768.1,514.4,17.0,15.79,2024-06-03 14:58:56.586,algorand,62.75,69.43,23.75543897234033,1.0,0,0
f16e86,dota,1,fat-tree-l,diablo,hop,8,16,10,1,0,3678700,88377,0,13009.0,312.5,84.27,75.29,2024-06-03 15:58:27.295,algorand,163.29,206.61,21.421183172554713,1.0,0,0
f16e86,dota,2,fat-tree-l,diablo,hop,8,16,10,1,0,3678700,59808,0,13180.7,214.3,58.81,40.39,2024-06-03 16:12:16.619,algorand,163.29,206.61,24.088385287578156,1.0,0,0
856e1b,gafam,1,fat-tree-l,diablo,hop,8,16,10,1,0,30320,26517,0,167.7,146.7,24.46,24.22,2024-06-03 14:32:12.419,algorand,46.73,52.16,11.473305101630693,1.0,0,0
856e1b,gafam,2,fat-tree-l,diablo,hop,8,16,10,1,0,30320,21452,0,167.7,118.6,25.45,24.6,2024-06-03 14:40:31.699,algorand,46.73,52.16,12.085414355156937,1.0,0,0
38b05d,football,2,fat-tree-l,diablo,hop,8,16,10,1,0,4056130,33472,0,22639.1,186.8,58.13,70.16,2024-06-03 15:44:45.437,algorand,368.69,496.21,7.7707836603389016,1.0,0,0
