blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,denominator,primary_count,defined_repetitions,median,q025,q975,minimum,maximum
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,n_positive_commit,16,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,n_positive_commit,14,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,n_positive_commit,14,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,n_positive_commit,14,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
Algorand,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,n_positive_commit,13,5000,9.0,9.0,9.0,9.0,9.0
