scope,metric,statistic,direction,primary_value,defined_repetitions,median,q025,q975,minimum,maximum
six_workloads,tps_positive_commit,delta_min_pct,minimum,-99.48367109848975,5000,-99.31824637818389,-99.60505529225908,-97.84998985896313,-99.67445561744918,-96.97080559010756
six_workloads,tps_positive_commit,delta_max_pct,maximum,497.2602739726027,5000,281.6058992216305,192.31843575418995,404.37017994858616,157.53341433778854,501.4454348349794
six_workloads,tps_positive_commit,range_abs,maximum,473.6,5000,459.1,401.96000000000004,473.6,332.4,473.6
six_workloads,tps_positive_commit,wcd_abs,maximum,271.44000000000005,5000,270.32539682539687,228.26995535714286,311.8571428571429,192.54444444444442,325.1
six_workloads,tps_positive_commit,wcd_pct,maximum,497.2602739726027,5000,281.6058992216305,192.31843575418995,404.37017994858616,157.53341433778854,501.4454348349794
legacy_three_workloads,tps_positive_commit,delta_min_pct,minimum,-98.83720930232559,5000,-98.8425925925926,-99.24242424242425,-96.42857142857143,-99.3730407523511,-91.31832797427653
legacy_three_workloads,tps_positive_commit,delta_max_pct,maximum,497.2602739726027,5000,275.70621468926555,175.00000000000003,404.3701799485861,130.43478260869566,497.26027397260276
legacy_three_workloads,tps_positive_commit,range_abs,maximum,473.6,5000,459.1,401.96000000000004,473.6,267.49999999999994,473.6
legacy_three_workloads,tps_positive_commit,wcd_abs,maximum,271.44000000000005,5000,270.32539682539687,223.9740476190476,311.8571428571429,177.21249999999998,325.1
legacy_three_workloads,tps_positive_commit,wcd_pct,maximum,497.2602739726027,5000,275.70621468926555,175.00000000000003,404.3701799485861,130.43478260869566,497.26027397260276
six_workloads,latency_positive_commit,delta_min_pct,minimum,-96.46569977552417,5000,-96.10143298679404,-97.60168530222006,-92.58312563950913,-98.16895135349137,-90.48318941760058
six_workloads,latency_positive_commit,delta_max_pct,maximum,572.9398420800069,5000,459.1455280251141,341.20256481464025,599.1942092324501,260.6624539962503,605.1005417317051
six_workloads,latency_positive_commit,range_abs,maximum,245.64000000000001,5000,245.23000000000002,165.38,245.64000000000001,135.15,245.64000000000001
six_workloads,latency_positive_commit,wcd_abs,maximum,185.047,5000,165.47285714285715,136.06866666666667,200.84000000000003,97.33666666666666,209.00285714285715
six_workloads,latency_positive_commit,wcd_pct,maximum,572.9398420800069,5000,459.1455280251141,341.20256481464025,599.1942092324501,260.6624539962503,605.1005417317051
legacy_three_workloads,latency_positive_commit,delta_min_pct,minimum,-96.46569977552417,5000,-96.10143298679404,-97.60168530222006,-91.21906131251924,-98.16895135349137,-84.34884554010486
legacy_three_workloads,latency_positive_commit,delta_max_pct,maximum,572.9398420800069,5000,459.1455280251141,341.20256481464025,599.1942092324501,260.6624539962503,605.1005417317051
legacy_three_workloads,latency_positive_commit,range_abs,maximum,245.64000000000001,5000,245.23000000000002,165.38,245.64000000000001,135.15,245.64000000000001
legacy_three_workloads,latency_positive_commit,wcd_abs,maximum,185.047,5000,165.47285714285715,136.06866666666667,200.84000000000003,97.33666666666666,209.00285714285715
legacy_three_workloads,latency_positive_commit,wcd_pct,maximum,572.9398420800069,5000,459.1455280251141,341.20256481464025,599.1942092324501,260.6624539962503,605.1005417317051
six_workloads,energy_observed,delta_min_pct,minimum,-54.32966919138779,5000,-52.40848393040257,-56.12617950839985,-40.12483873747193,-57.41572386434757,-37.26581720069891
six_workloads,energy_observed,delta_max_pct,maximum,54.99094772741685,5000,51.83602886798681,43.13212427549752,60.783714849146655,38.78076532578618,64.09859816047255
six_workloads,energy_observed,range_abs,maximum,18.99648270809758,5000,17.84114397631695,15.695105774607004,18.99648270809758,14.139203773059732,18.99648270809758
six_workloads,energy_observed,wcd_abs,maximum,12.861999388187556,5000,12.076516532470324,9.013631332489446,13.554433161977059,8.107980947867379,14.0756997861933
six_workloads,energy_observed,wcd_pct,maximum,54.99094772741685,5000,53.96062839131389,45.5158945527827,60.783714849146655,40.726205341699774,64.09859816047255
legacy_three_workloads,energy_observed,delta_min_pct,minimum,-43.059120812904695,5000,-41.4237737253169,-43.93523727532844,-36.31504350112784,-44.97917918885134,-34.35534605069209
legacy_three_workloads,energy_observed,delta_max_pct,maximum,54.99094772741685,5000,51.79181989331427,39.84044271487416,60.783714849146655,34.79291143779254,64.09859816047255
legacy_three_workloads,energy_observed,range_abs,maximum,18.99648270809758,5000,17.84114397631695,14.808487914017526,18.99648270809758,13.024212323574211,18.99648270809758
legacy_three_workloads,energy_observed,wcd_abs,maximum,12.861999388187556,5000,11.980665621466471,8.51274383977466,13.554433161977059,7.496467785883262,14.0756997861933
legacy_three_workloads,energy_observed,wcd_pct,maximum,54.99094772741685,5000,51.79181989331427,41.59008688700713,60.783714849146655,36.51634318883861,64.09859816047255
six_workloads,energy_positive_commit,delta_min_pct,minimum,-54.32966919138779,5000,-52.40848393040257,-56.12617950839985,-38.79044826060507,-57.41572386434757,-36.83286544657447
six_workloads,energy_positive_commit,delta_max_pct,maximum,54.99094772741685,5000,51.80923368493497,42.148066154085015,60.783714849146655,36.55480906897004,64.09859816047255
six_workloads,energy_positive_commit,range_abs,maximum,18.99648270809758,5000,17.84114397631695,15.695105774607004,18.99648270809758,14.139203773059732,18.99648270809758
six_workloads,energy_positive_commit,wcd_abs,maximum,12.861999388187556,5000,12.076516532470324,8.953251023552086,13.554433161977059,8.107980947867379,14.0756997861933
six_workloads,energy_positive_commit,wcd_pct,maximum,54.99094772741685,5000,53.93865858410562,44.75595271920579,60.783714849146655,39.41223962503496,64.09859816047255
legacy_three_workloads,energy_positive_commit,delta_min_pct,minimum,-43.059120812904695,5000,-41.4237737253169,-43.93523727532844,-35.74753663964583,-44.97917918885134,-34.13520583870611
legacy_three_workloads,energy_positive_commit,delta_max_pct,maximum,54.99094772741685,5000,51.79181989331427,39.718693431147265,60.783714849146655,34.99035245690369,64.09859816047255
legacy_three_workloads,energy_positive_commit,range_abs,maximum,18.99648270809758,5000,17.84114397631695,14.808487914017526,18.99648270809758,13.024212323574211,18.99648270809758
legacy_three_workloads,energy_positive_commit,wcd_abs,maximum,12.861999388187556,5000,11.980665621466471,8.512671800735205,13.554433161977059,7.47869019995087,14.0756997861933
legacy_three_workloads,energy_positive_commit,wcd_pct,maximum,54.99094772741685,5000,51.79181989331427,41.59008688700713,60.783714849146655,36.51634318883861,64.09859816047255
