blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,panel_row,panel_column,matrix_row,matrix_column,display_count
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,0,0,13/0/0
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,0,13/0/0
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit,0,0,0,1,16/0/0
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,1,13/0/0
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,0,3,13/0/0
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,3,13/0/0
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,0,2,13/0/0
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,2,13/0/0
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,0,4,13/0/0
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,4,13/0/0
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,0,5,13/0/0
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,0,5,13/0/0
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,0,0,1,0,14/0/0
Algorand,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,1,0,13/0/0
Algorand,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,0,0,1,1,14/0/0
Algorand,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,1,1,13/0/0
Algorand,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,0,0,1,3,14/0/0
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,1,3,13/0/0
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,1,2,13/0/0
