metric,dataset,run,hash,blockchain,mode,workload,network_size,metric_value,configuration_mean,absolute_deviation,relative_deviation,plot_x,plot_offset
tps,2023,1,8c1850,Algorand,fat-tree,DDoS,10 nodes,573.5,676.8461538461538,-103.34615384615381,-15.268780543243546,-0.12,-0.12
tps,2023,1,d9ef8a,Algorand,fat-tree,PayPal,10 nodes,190.7,190.80769230769232,-0.10769230769233218,-0.05644023382383867,-0.12,-0.12
tps,2023,1,a48990,Algorand,fat-tree,VISA,10 nodes,510.0,511.1461538461538,-1.1461538461538225,-0.22423211786482405,-0.12,-0.12
tps,2023,1,ef10af,Algorand,fat-tree,Gaming,10 nodes,278.5,225.53846153846155,52.96153846153845,23.48226466575716,-0.15,-0.15
tps,2023,1,1a234b,Algorand,fat-tree,GAFAM,10 nodes,155.2,124.02307692307691,31.176923076923075,25.138001612603116,-0.15,-0.15
tps,2023,1,3fa6bd,Algorand,fat-tree,FIFA,10 nodes,254.7,96.83749999999999,157.8625,163.01794242932752,-0.18,-0.18
tps,2023,1,db971b,Algorand,full mesh,GAFAM,10 nodes,155.8,147.14285714285714,8.657142857142873,5.883495145631079,0.9030769230769231,-0.09692307692307692
tps,2023,1,ed1224,Algorand,full mesh,DDoS,10 nodes,785.5,790.0571428571428,-4.557142857142821,-0.5768118038478185,0.9030769230769231,-0.09692307692307692
tps,2023,1,e4128e,Algorand,full mesh,Gaming,10 nodes,290.2,270.59999999999997,19.600000000000023,7.243163340724325,0.88,-0.12
tps,2023,1,9c59a9,Algorand,full mesh,FIFA,10 nodes,152.6,129.6,23.0,17.746913580246915,0.8753846153846154,-0.12461538461538461
tps,2023,1,3432ce,Algorand,full mesh,FIFA,10 nodes,69.2,129.6,-60.39999999999999,-46.60493827160494,0.8200000000000001,-0.18
tps,2023,1,bb010b,Algorand,full mesh,VISA,10 nodes,545.7,553.7461538461539,-8.046153846153857,-1.4530401322461017,0.88,-0.12
tps,2023,1,4003e3,Algorand,full mesh,PayPal,10 nodes,193.3,192.26153846153846,1.0384615384615472,0.5401296311114713,0.8200000000000001,-0.18
tps,2023,1,5376e1,Algorand,full mesh,GAFAM,10 nodes,156.4,147.14285714285714,9.257142857142867,6.291262135922337,0.8476923076923077,-0.1523076923076923
tps,2023,1,273242,Algorand,full mesh,DDoS,10 nodes,781.3,790.0571428571428,-8.757142857142867,-1.1084189208737174,0.8200000000000001,-0.18
tps,2023,1,96d2ae,Algorand,hypercube,DDoS,10 nodes,666.9,759.1692307692308,-92.26923076923083,-12.15397397965388,1.82,-0.18
tps,2023,1,ac04c4,Algorand,hypercube,FIFA,10 nodes,215.5,123.48461538461538,92.01538461538462,74.51566685354761,1.88,-0.12
tps,2023,1,862244,Algorand,hypercube,GAFAM,10 nodes,135.2,119.65384615384616,15.546153846153828,12.992606878817085,1.85,-0.15
tps,2023,1,4afdb4,Algorand,hypercube,PayPal,10 nodes,191.6,192.84615384615384,-1.2461538461538453,-0.646190666134822,1.82,-0.18
tps,2023,1,6cb7aa,Algorand,hypercube,VISA,10 nodes,538.5,552.0230769230769,-13.523076923076928,-2.4497303624430424,1.85,-0.15
tps,2023,1,822772,Algorand,hypercube,Gaming,10 nodes,225.0,235.0,-10.0,-4.25531914893617,1.85,-0.15
tps,2023,1,1a2467,Algorand,fat-tree,DDoS,10 nodes,688.4,676.8461538461538,11.553846153846166,1.7070121604727828,-0.18,-0.18
tps,2023,2,1a2467,Algorand,fat-tree,DDoS,10 nodes,720.6,676.8461538461538,43.75384615384621,6.464370951244468,-0.08999999999999998,-0.08999999999999998
tps,2023,1,02a857,Algorand,fat-tree,PayPal,10 nodes,191.5,190.80769230769232,0.6923076923076792,0.36283007458173067,-0.18,-0.18
tps,2023,2,02a857,Algorand,fat-tree,PayPal,10 nodes,192.1,190.80769230769232,1.2923076923076735,0.6772828058859002,-0.08999999999999998,-0.08999999999999998
tps,2023,1,91671a,Algorand,fat-tree,VISA,10 nodes,514.0,511.1461538461538,2.8538461538461775,0.5583229243480009,-0.15,-0.15
tps,2023,2,91671a,Algorand,fat-tree,VISA,10 nodes,514.4,511.1461538461538,3.2538461538461547,0.6365784285692789,-0.06,-0.06
tps,2023,1,f16e86,Algorand,fat-tree,Gaming,10 nodes,312.5,225.53846153846155,86.96153846153845,38.55729877216916,-0.12,-0.12
tps,2023,2,f16e86,Algorand,fat-tree,Gaming,10 nodes,214.3,225.53846153846155,-11.238461538461536,-4.98294679399727,-0.06,-0.06
tps,2023,1,856e1b,Algorand,fat-tree,GAFAM,10 nodes,146.7,124.02307692307691,22.676923076923075,18.284438379954103,-0.12,-0.12
tps,2023,2,856e1b,Algorand,fat-tree,GAFAM,10 nodes,118.6,124.02307692307691,-5.42307692307692,-4.372635365626742,-0.06,-0.06
tps,2023,2,38b05d,Algorand,fat-tree,FIFA,10 nodes,186.8,96.83749999999999,89.96250000000002,92.90047760423393,-0.08399999999999999,-0.08399999999999999
tps,2023,2,41bc02,Algorand,fat-tree,FIFA,10 nodes,128.4,96.83749999999999,31.562500000000014,32.593261907835306,-0.06000000000000001,-0.06000000000000001
tps,2023,1,41bc02,Algorand,fat-tree,FIFA,10 nodes,277.4,96.83749999999999,180.5625,186.4592745578934,-0.156,-0.156
tps,2023,1,7b076a,Algorand,fat-tree,FIFA,10 nodes,22.9,96.83749999999999,-73.9375,-76.35213631083,-0.132,-0.132
tps,2023,2,7b076a,Algorand,fat-tree,FIFA,10 nodes,0.8,96.83749999999999,-96.0375,-99.17387375758359,-0.035999999999999976,-0.035999999999999976
tps,2023,8,1c5e88,Algorand,fat-tree,DDoS,10 nodes,696.1,676.8461538461538,19.25384615384621,2.844641436526887,0.12,0.12
tps,2023,3,1c5e88,Algorand,fat-tree,DDoS,10 nodes,735.5,676.8461538461538,58.65384615384619,8.665757472440056,-0.03,-0.03
tps,2023,2,1c5e88,Algorand,fat-tree,DDoS,10 nodes,744.5,676.8461538461538,67.65384615384619,9.995454028866922,-0.06,-0.06
tps,2023,1,1c5e88,Algorand,fat-tree,DDoS,10 nodes,693.0,676.8461538461538,16.15384615384619,2.3866348448687402,-0.15,-0.15
tps,2023,9,1c5e88,Algorand,fat-tree,DDoS,10 nodes,611.7,676.8461538461538,-65.14615384615377,-9.624957381520616,0.15000000000000002,0.15000000000000002
tps,2023,4,1c5e88,Algorand,fat-tree,DDoS,10 nodes,698.9,676.8461538461538,22.053846153846166,3.2583248096374606,2.7755575615628914e-17,2.7755575615628914e-17
tps,2023,5,1c5e88,Algorand,fat-tree,DDoS,10 nodes,584.4,676.8461538461538,-92.44615384615383,-13.658370269348788,0.03,0.03
tps,2023,6,1c5e88,Algorand,fat-tree,DDoS,10 nodes,656.8,676.8461538461538,-20.046153846153857,-2.9617001932037748,0.06,0.06
tps,2023,10,1c5e88,Algorand,fat-tree,DDoS,10 nodes,662.5,676.8461538461538,-14.346153846153811,-2.1195590408000857,0.18000000000000005,0.18000000000000005
tps,2023,7,1c5e88,Algorand,fat-tree,DDoS,10 nodes,733.1,676.8461538461538,56.25384615384621,8.31117172405956,0.08999999999999997,0.08999999999999997
tps,2023,8,16bd94,Algorand,fat-tree,Gaming,10 nodes,155.0,225.53846153846155,-70.53846153846155,-31.275579809004093,0.12,0.12
tps,2023,3,16bd94,Algorand,fat-tree,Gaming,10 nodes,225.9,225.53846153846155,0.3615384615384585,0.16030013642564667,-0.03,-0.03
tps,2023,2,16bd94,Algorand,fat-tree,Gaming,10 nodes,282.3,225.53846153846155,56.761538461538464,25.167121418826742,-0.08999999999999998,-0.08999999999999998
tps,2023,1,16bd94,Algorand,fat-tree,Gaming,10 nodes,210.6,225.53846153846155,-14.938461538461553,-6.62346521145976,-0.18,-0.18
tps,2023,9,16bd94,Algorand,fat-tree,Gaming,10 nodes,265.9,225.53846153846155,40.36153846153843,17.89563437926329,0.15000000000000002,0.15000000000000002
tps,2023,4,16bd94,Algorand,fat-tree,Gaming,10 nodes,87.8,225.53846153846155,-137.73846153846154,-61.07094133697135,2.7755575615628914e-17,2.7755575615628914e-17
