blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_campaigns,first_observed_at,last_observed_at
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 10:22:41.366,2025-07-15 20:45:25.492
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 11:59:45.033,2025-06-26 19:50:14.797
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,16,5,2024-05-05 10:36:18.321,2025-07-15 23:00:57.372
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 12:12:26.611,2025-06-26 22:19:39.812
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 10:03:58.380,2025-07-15 16:02:33.843
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 11:36:23.046,2025-06-26 14:09:52.047
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 10:49:36.183,2025-07-16 01:16:21.795
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 12:27:10.905,2025-06-27 00:51:30.565
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 09:53:28.629,2025-07-15 17:40:21.680
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 11:23:39.848,2025-06-26 16:10:57.907
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 10:12:05.660,2025-07-15 19:22:07.333
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 11:46:57.355,2025-06-26 18:09:29.807
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,14,4,2024-04-28 13:42:46.759,2025-06-23 17:51:35.292
Algorand,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 07:03:35.045,2025-06-24 06:17:55.014
Algorand,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,14,4,2024-04-28 14:03:55.244,2025-06-23 20:07:23.560
Algorand,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 07:17:36.590,2025-06-24 08:50:00.112
Algorand,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,14,4,2024-04-28 13:50:47.962,2025-06-23 13:09:37.190
Algorand,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 06:40:26.993,2025-06-24 00:30:01.703
Algorand,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,13,3,2024-04-28 14:17:29.382,2025-06-23 22:23:08.943
Algorand,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 07:32:29.041,2025-06-24 11:20:01.334
Algorand,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-03 21:55:18.204,2025-06-23 14:47:07.467
Algorand,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 06:27:25.710,2025-06-24 02:32:33.969
Algorand,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-03 22:14:04.515,2025-06-23 16:28:11.942
Algorand,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 06:50:48.304,2025-06-24 04:34:13.141
Algorand,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-05 11:40:39.780,2025-07-12 18:37:42.281
