blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,9.426071144448244,1.5437299685738777,22.034921778137626
Algorand,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,8.360509572553,4.461707410011184,10.435471308223798
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,16.158721724609077,5.165702141865094,44.70082190467198
Algorand,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,19.396236708881688,10.547737352435943,25.61621153911359
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,16,161.89492706854267,76.76318588255288,205.83020789350044
Algorand,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,16,99.24327447544364,65.85173131223516,140.3705880607591
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,83.2425068119891,31.294144336345994,135.80406356070543
Algorand,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,60.99990129769681,37.619850423234524,82.7318354572537
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,25.23723872728401,5.985948473430099,69.52262847236342
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,24.69361658140263,11.830217478412514,34.47546623441646
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,51.78236397748592,6.924167977041736,80.01697234669282
Algorand,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,30.886031532989076,15.594106661968608,40.40128449808316
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,30.903819918144606,8.257126107016587,59.824797373117796
Algorand,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,27.490373183499912,14.137661120643598,39.278723949917634
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,36.492459259759094,8.19818742934317,53.57941788774818
Algorand,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,22.191206195655685,13.70148259510739,28.001685764090166
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.9433581939125086,0.052608043778288684,1.256697604167803
Algorand,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.548609939312862,0.36706534934632035,0.6212809008107484
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.36687631027253076,0.0524171884045696,0.6823609690610364
Algorand,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,0.29102605256739333,0.1742337080342003,0.3671364350279002
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,1.4672907041490468,0.4506094732358006,2.6112831329068147
Algorand,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,1.6723703422296345,0.6978755518265769,2.4148882733298622
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,21.215442698818666,5.081194251947153,29.39226051960747
Algorand,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,13.544725399005303,9.57678349553722,15.69544862910162
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,14,5.3856863879646975,1.0590395306712352,8.932275191395432
Algorand,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,14,4.139936125692973,2.537620383321696,5.182109929674702
Algorand,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,17.682453723496913,6.935785465361406,54.35105813239473
