scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,topology,mode,Algorand,fat-tree,tps_positive_commit,iqr_pct,mean,12,12,159,13,16,36.59425637828462,25.687465472223586,43.92070522666037
six_workloads,topology,mode,Algorand,fat-tree,tps_positive_commit,iqr_pct,median,12,12,159,13,16,23.226340713051336,12.322399002463236,30.783195747482083
six_workloads,topology,mode,Algorand,fat-tree,tps_positive_commit,sample_std_pct,mean,12,12,159,13,16,25.776490106769803,21.0170820109512,29.383137140534128
six_workloads,topology,mode,Algorand,fat-tree,tps_positive_commit,sample_std_pct,median,12,12,159,13,16,20.793721452268684,13.550085231080942,23.246137647782785
six_workloads,topology,mode,Algorand,full mesh,tps_positive_commit,iqr_pct,mean,12,12,159,13,14,16.691322766949792,13.549061136707989,29.840058964831133
six_workloads,topology,mode,Algorand,full mesh,tps_positive_commit,iqr_pct,median,12,12,159,13,14,11.437771773488997,5.984346546239456,19.583262143947568
six_workloads,topology,mode,Algorand,full mesh,tps_positive_commit,sample_std_pct,mean,12,12,159,13,14,20.606902771281288,15.603003049770056,23.07256505894233
six_workloads,topology,mode,Algorand,full mesh,tps_positive_commit,sample_std_pct,median,12,12,159,13,14,15.607408605145206,9.505286902544967,17.30583489492324
six_workloads,topology,mode,Algorand,hypercube,tps_positive_commit,iqr_pct,mean,12,12,156,13,13,26.562789857551632,18.202277677908793,35.42569713517164
six_workloads,topology,mode,Algorand,hypercube,tps_positive_commit,iqr_pct,median,12,12,156,13,13,16.62542002416244,9.313462409412423,29.066738777932056
six_workloads,topology,mode,Algorand,hypercube,tps_positive_commit,sample_std_pct,mean,12,12,156,13,13,21.41855096263264,17.20674813768372,23.659896121837296
six_workloads,topology,mode,Algorand,hypercube,tps_positive_commit,sample_std_pct,median,12,12,156,13,13,21.29122455386075,12.659672364120224,24.465328896189643
six_workloads,topology,mode,Algorand,scale-free,tps_positive_commit,iqr_pct,mean,12,12,157,11,17,40.833658980606224,27.79177716365725,52.402070653849826
six_workloads,topology,mode,Algorand,scale-free,tps_positive_commit,iqr_pct,median,12,12,157,11,17,25.815967699794214,10.764068652024417,41.9499222651415
six_workloads,topology,mode,Algorand,scale-free,tps_positive_commit,sample_std_pct,mean,12,12,157,11,17,30.174330857410293,24.487200628308365,33.86105973578959
six_workloads,topology,mode,Algorand,scale-free,tps_positive_commit,sample_std_pct,median,12,12,157,11,17,31.585957366019084,15.41239833073097,35.30219386706721
