blockchain,mode,workload,network_size,metric,eligible_observations,eligible_hash_batches,hash_batches_with_at_least_two_eligible_executions,total_sum_of_squares,within_hash_sum_of_squares,between_hash_sum_of_squares,decomposition_identity_error,between_hash_fraction,decomposition_available,strict_sensitivity
Algorand,fat-tree,DDoS,10 nodes,TPS,13,3,2,38426.132307692314,25985.465000000004,12440.667307692307,3.637978807091713e-12,0.3237553862583739,True,True
Algorand,fat-tree,DDoS,40 nodes,TPS,13,3,2,74179.6523076923,69402.14399999999,4777.508307692318,0.0,0.06440456592969092,True,True
Algorand,fat-tree,FIFA,10 nodes,TPS,16,5,3,138541.7175,60175.08899999999,78366.62849999999,1.4551915228366852e-11,0.565653652301517,True,True
Algorand,fat-tree,FIFA,40 nodes,TPS,13,3,2,11530.01692307692,10077.804,1452.2129230769228,2.2737367544323206e-12,0.12595063240283455,True,True
Algorand,fat-tree,GAFAM,10 nodes,TPS,13,3,2,11255.263076923076,9899.861000000003,1355.4020769230735,2.2737367544323206e-13,0.12042384684033601,True,True
Algorand,fat-tree,GAFAM,40 nodes,TPS,13,3,2,13008.28,11692.674,1315.6059999999998,0.0,0.10113604565707378,True,True
Algorand,fat-tree,Gaming,10 nodes,TPS,13,3,2,46130.03076923076,38802.14099999999,7327.889769230769,3.637978807091713e-12,0.15885291310316127,True,True
Algorand,fat-tree,Gaming,40 nodes,TPS,13,3,2,30717.329230769228,24102.473999999995,6614.8552307692225,1.0913936421275139e-11,0.21534604070145497,True,True
Algorand,fat-tree,PayPal,10 nodes,TPS,13,3,2,13.149230769230737,10.815999999999985,2.3332307692308,4.75175454539567e-14,0.1774423774423802,True,True
Algorand,fat-tree,PayPal,40 nodes,TPS,13,3,2,3.6999999999999607,3.548999999999956,0.1509999999999925,1.2184697695261093e-14,0.04081081081080922,True,True
Algorand,fat-tree,VISA,10 nodes,TPS,13,3,2,876.8723076923102,854.4450000000027,22.427307692309036,1.5134560271690134e-12,0.02557648074362346,True,True
Algorand,fat-tree,VISA,40 nodes,TPS,13,3,2,31617.64769230769,29228.43,2389.2176923076895,1.8189894035458565e-12,0.07556595340547634,True,True
Algorand,full mesh,DDoS,10 nodes,TPS,14,4,2,13907.454285714297,13792.74600000001,114.70828571428662,2.1316282072803006e-13,0.008247971437311477,True,True
Algorand,full mesh,DDoS,40 nodes,TPS,13,3,2,139051.0292307692,126318.96099999998,12732.068230769213,5.4569682106375694e-12,0.09156399849179873,True,True
Algorand,full mesh,FIFA,10 nodes,TPS,14,4,2,122924.96,117897.636,5027.3240000000005,7.275957614183426e-12,0.04089750364775389,True,True
Algorand,full mesh,FIFA,40 nodes,TPS,13,3,2,20561.836923076924,8075.650000000001,12486.18692307692,1.8189894035458565e-12,0.6072505569316837,True,True
Algorand,full mesh,GAFAM,10 nodes,TPS,14,4,2,7873.894285714286,7021.1759999999995,852.7182857142845,1.5916157281026244e-12,0.10829689284264116,True,True
Algorand,full mesh,GAFAM,40 nodes,TPS,13,3,2,3985.3630769230776,3542.714000000001,442.64907692307736,5.684341886080801e-13,0.11106869521780864,True,True
Algorand,full mesh,Gaming,10 nodes,TPS,13,3,2,25841.93999999999,25400.675999999996,441.2639999999998,4.206412995699793e-12,0.01707549820176039,True,True
Algorand,full mesh,Gaming,40 nodes,TPS,13,3,2,42901.57230769231,23772.121000000003,19129.45130769231,3.637978807091713e-12,0.4458916137267625,True,True
Algorand,full mesh,PayPal,10 nodes,TPS,13,3,2,18.870769230769245,17.580999999999996,1.2897692307692459,2.886579864025407e-15,0.06834746453611684,True,True
Algorand,full mesh,PayPal,40 nodes,TPS,13,3,2,14.932307692307633,10.763999999999934,4.1683076923077325,3.2862601528904634e-14,0.2791469194312834,True,True
Algorand,full mesh,VISA,10 nodes,TPS,13,3,2,5635.912307692314,5546.054000000007,89.85830769230759,7.105427357601002e-13,0.015943879674930758,True,True
Algorand,full mesh,VISA,40 nodes,TPS,13,3,2,24745.8723076923,16849.36499999999,7896.507307692306,4.547473508864641e-12,0.3191040190261413,True,True
Algorand,hypercube,DDoS,10 nodes,TPS,13,3,2,29338.947692307695,15655.880999999998,13683.066692307666,3.092281986027956e-11,0.46637891841959944,True,True
Algorand,hypercube,DDoS,40 nodes,TPS,13,3,2,156921.1369230769,127318.94099999999,29602.19592307694,2.546585164964199e-11,0.18864377676276972,True,True
Algorand,hypercube,FIFA,10 nodes,TPS,13,3,2,45846.156923076924,31799.346,14046.810923076924,1.8189894035458565e-12,0.30639015057784225,True,True
Algorand,hypercube,FIFA,40 nodes,TPS,13,3,2,18913.636923076923,15010.141,3903.495923076922,1.8189894035458565e-12,0.20638526259929338,True,True
Algorand,hypercube,GAFAM,10 nodes,TPS,13,3,2,16317.052307692305,15592.081,724.9713076923075,2.1600499167107046e-12,0.04443028642805393,True,True
Algorand,hypercube,GAFAM,40 nodes,TPS,13,3,2,7799.236923076924,6840.264000000001,958.9729230769215,1.1368683772161603e-12,0.12295727550466454,True,True
Algorand,hypercube,Gaming,10 nodes,TPS,13,3,2,43943.5,40131.534,3811.965999999998,2.2737367544323206e-12,0.08674698191996537,True,True
Algorand,hypercube,Gaming,40 nodes,TPS,13,3,2,37376.66923076923,31624.168999999998,5752.500230769236,5.4569682106375694e-12,0.15390617594233522,True,True
Algorand,hypercube,PayPal,10 nodes,TPS,13,3,2,3.1323076923077386,1.3000000000000282,1.8323076923076966,1.3766765505351941e-14,0.5849705304518591,True,True
Algorand,hypercube,PayPal,40 nodes,TPS,13,3,2,7.16307692307689,6.408999999999965,0.7540769230769161,8.548717289613705e-15,0.10527276632302357,True,True
Algorand,hypercube,VISA,10 nodes,TPS,13,3,2,1970.103076923073,1770.2559999999964,199.84707692307728,6.252776074688882e-13,0.10143990904029268,True,True
Algorand,hypercube,VISA,40 nodes,TPS,13,3,2,40568.943076923075,22703.309999999998,17865.633076923095,1.8189894035458565e-11,0.4403770895151973,True,True
Algorand,scale-free,DDoS,10 nodes,TPS,13,3,2,31663.389230769233,23980.189,7683.200230769263,2.8194335754960775e-11,0.24265248974999276,True,True
Algorand,scale-free,DDoS,40 nodes,TPS,13,3,2,51715.24,40159.72899999999,11555.510999999999,7.275957614183426e-12,0.2234449844958662,True,True
Algorand,scale-free,FIFA,10 nodes,TPS,17,6,3,59258.30117647058,37689.818999999996,21568.482176470585,0.0,0.3639740213314566,True,True
Algorand,scale-free,FIFA,40 nodes,TPS,11,3,2,7610.301818181819,4861.075000000001,2749.226818181817,9.094947017729282e-13,0.3612506946325864,True,True
Algorand,scale-free,GAFAM,10 nodes,TPS,13,3,2,15990.510769230768,10496.37,5494.1407692307685,9.094947017729282e-13,0.3435875719368949,True,True
Algorand,scale-free,GAFAM,40 nodes,TPS,13,3,2,22521.812307692304,18042.364,4479.448307692308,5.4569682106375694e-12,0.1988937766860954,True,True
Algorand,scale-free,Gaming,10 nodes,TPS,12,3,2,39407.48666666667,25542.039999999997,13865.44666666667,3.637978807091713e-12,0.35184803293722705,True,True
Algorand,scale-free,Gaming,40 nodes,TPS,13,3,2,54947.15076923078,40979.49600000001,13967.654769230769,3.637978807091713e-12,0.2542016205333863,True,True
