metric,term,term_formula,test,statistic,df,nominal_df,residual_df,p_value,design_full_rank,support_adjusted
TPS,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,9715.863459790837,4.0,4.0,1710.0,0.0,True,False
TPS,Topology,"C(mode, Sum)",HC3 Type-III F,10.42750541082657,4.0,4.0,1710.0,2.404641041667088e-08,True,False
TPS,Workload,"C(workload, Sum)",HC3 Type-III F,188.52421606879162,2.0,2.0,1710.0,1.0265105678563508e-74,True,False
TPS,Size,"C(network_size, Sum)",HC3 Type-III F,190.38503637271208,1.0,1.0,1710.0,3.84448439057534e-41,True,False
TPS,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,10.607906960615859,16.0,16.0,1710.0,2.64657777052614e-26,True,False
TPS,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,250.76150103065638,8.0,8.0,1710.0,1.0153934485127032e-281,True,False
TPS,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,27.687823265005292,4.0,4.0,1710.0,2.640729541237056e-22,True,False
TPS,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,2.080192896412341,8.0,8.0,1710.0,0.03467184354154734,True,False
TPS,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,0.8884250003169717,4.0,4.0,1710.0,0.4700026422265612,True,False
TPS,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,24.887481050421783,2.0,2.0,1710.0,2.2173004741305757e-11,True,False
Latency,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,4593.179284812839,4.0,4.0,1716.0,0.0,True,False
Latency,Topology,"C(mode, Sum)",HC3 Type-III F,45.90207236653799,4.0,4.0,1716.0,1.1117065566199653e-36,True,False
Latency,Workload,"C(workload, Sum)",HC3 Type-III F,777.4433254125596,2.0,2.0,1716.0,4.2937335557468466e-241,True,False
Latency,Size,"C(network_size, Sum)",HC3 Type-III F,8.64140685056629,1.0,1.0,1716.0,0.0033300127234265862,True,False
Latency,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,23.285901293426807,16.0,16.0,1716.0,2.551184336079469e-62,True,False
Latency,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,493.150898324222,8.0,8.0,1716.0,0.0,True,False
Latency,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,178.96569405537983,4.0,4.0,1716.0,3.0493372820178597e-128,True,False
Latency,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,4.437925337357052,8.0,8.0,1716.0,2.4561095462507017e-05,True,False
Latency,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,6.518844955478692,4.0,4.0,1716.0,3.323593921811971e-05,True,False
Latency,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,5.981370116240596,2.0,2.0,1716.0,0.002578319202671842,True,False
Energy,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,0.24658461641379067,4.0,4.0,1716.0,0.9118165665349613,True,False
Energy,Topology,"C(mode, Sum)",HC3 Type-III F,0.6866337080606661,4.0,4.0,1716.0,0.6012003589100594,True,False
Energy,Workload,"C(workload, Sum)",HC3 Type-III F,1407.4862945622976,2.0,2.0,1716.0,0.0,True,False
Energy,Size,"C(network_size, Sum)",HC3 Type-III F,0.0024399913155191736,1.0,1.0,1716.0,0.9606092505405629,True,False
Energy,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,0.40735191136667287,16.0,16.0,1716.0,0.9812663910791648,True,False
Energy,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,0.5872276027506774,8.0,8.0,1716.0,0.7891477724053405,True,False
Energy,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,0.5665985148340716,4.0,4.0,1716.0,0.6869261595920135,True,False
Energy,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,0.8331405309355419,8.0,8.0,1716.0,0.5732979050054632,True,False
Energy,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,0.24437515338429708,4.0,4.0,1716.0,0.9131446042706004,True,False
Energy,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,0.5267777941782573,2.0,2.0,1716.0,0.5906000942702312,True,False
