metric,term,term_formula,test,statistic,df,nominal_df,residual_df,p_value,partial_eta_squared,design_full_rank,support_adjusted
TPS,Blockchain,"C(blockchain, Sum)",HC3 Type-II F,19174.615139515176,4.0,4.0,3036.0,0.0,0.7991907906893412,True,True
TPS,Topology,"C(mode, Sum)",HC3 Type-II F,24.49291843283228,4.0,4.0,3036.0,5.586054850997886e-20,0.009698616987073139,True,True
TPS,Workload,"C(workload, Sum)",HC3 Type-II F,2122.43752378724,5.0,5.0,3036.0,0.0,0.5446347783899279,True,True
TPS,Size,"C(network_size, Sum)",HC3 Type-II F,262.22711874140634,1.0,1.0,3036.0,1.2391119075101354e-56,0.025310999331018935,True,True
TPS,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-II F,10.858319853145602,16.0,16.0,3036.0,1.1445110097728317e-27,0.047837799812479063,True,True
TPS,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-II F,309.41582213929473,18.0,20.0,3036.0,0.0,0.5890117008154351,True,True
TPS,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-II F,44.778248995542235,4.0,4.0,3036.0,1.3883434562741342e-36,0.08707997250068775,True,True
TPS,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-II F,2.269837726276514,20.0,20.0,3036.0,0.0010385310178107514,0.017600331520632697,True,True
TPS,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-II F,3.1881727621854696,4.0,4.0,3036.0,0.012672321302888746,0.004041669155205491,True,True
TPS,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-II F,34.824012370158,5.0,5.0,3036.0,9.829716624904338e-35,0.040313210902974295,True,True
Latency,Blockchain,"C(blockchain, Sum)",HC3 Type-II F,2792.395711083978,4.0,4.0,3043.0,0.0,0.6036522924634453,True,True
Latency,Topology,"C(mode, Sum)",HC3 Type-II F,71.95021903154648,4.0,4.0,3043.0,2.5599125330153058e-58,0.035238088754735,True,True
Latency,Workload,"C(workload, Sum)",HC3 Type-II F,1013.9296928714323,5.0,5.0,3043.0,0.0,0.35039644405637643,True,True
Latency,Size,"C(network_size, Sum)",HC3 Type-II F,821.8461742743224,1.0,1.0,3043.0,3.2972811359420545e-160,0.09926421795951923,True,True
Latency,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-II F,14.525841182803452,16.0,16.0,3043.0,8.54350736136106e-39,0.05548480393784555,True,True
Latency,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-II F,493.3004102013495,18.0,20.0,3043.0,0.0,0.7001444794245333,True,True
Latency,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-II F,41.452321678493476,4.0,4.0,3043.0,6.9613537399848514e-34,0.17349879609236687,True,True
Latency,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-II F,4.963826479968527,20.0,20.0,3043.0,2.891116515847515e-12,0.027093541592391135,True,True
Latency,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-II F,3.137774218892404,4.0,4.0,3043.0,0.013819535590382825,0.005054861647376407,True,True
Latency,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-II F,7.830480776787178,5.0,5.0,3043.0,2.4624540292129394e-07,0.013668171224769954,True,True
Energy,Blockchain,"C(blockchain, Sum)",HC3 Type-II F,0.4572717638150541,4.0,4.0,3043.0,0.7671472246543198,0.0005502358345146958,True,True
Energy,Topology,"C(mode, Sum)",HC3 Type-II F,0.398333848728652,4.0,4.0,3043.0,0.8099703718240454,0.00047077945976970473,True,True
Energy,Workload,"C(workload, Sum)",HC3 Type-II F,3470.4224590108397,5.0,5.0,3043.0,0.0,0.843926121175442,True,True
Energy,Size,"C(network_size, Sum)",HC3 Type-II F,0.2750557416997068,1.0,1.0,3043.0,0.5999985248392433,8.945033187453787e-05,True,True
Energy,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-II F,0.33967890067438344,16.0,16.0,3043.0,0.9930773917067539,0.0016685589099341169,True,True
Energy,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-II F,0.42848451874153387,18.0,20.0,3043.0,0.9824783363079322,0.003045551089941061,True,True
Energy,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-II F,0.41121954080525897,4.0,4.0,3043.0,0.8006871695423872,0.0005416338488386534,True,True
Energy,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-II F,1.038870436169701,20.0,20.0,3043.0,0.41090123192088723,0.0064577967262445055,True,True
Energy,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-II F,0.2702191695051499,4.0,4.0,3043.0,0.8972686637488755,0.00037490145817669853,True,True
Energy,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-II F,0.4325388705599482,5.0,5.0,3043.0,0.82616327734872,0.0007479060082960331,True,True
