metric,term,term_formula,test,statistic,df,nominal_df,residual_df,p_value,design_full_rank,support_adjusted
TPS,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,9296.427845184488,4.0,4.0,3036.0,0.0,True,True
TPS,Topology,"C(mode, Sum)",HC3 Type-III F,15.130459236974449,4.0,4.0,3036.0,2.977375766089102e-12,True,True
TPS,Workload,"C(workload, Sum)",HC3 Type-III F,447.5487310999956,5.0,5.0,3036.0,0.0,True,True
TPS,Size,"C(network_size, Sum)",HC3 Type-III F,138.25345370705386,1.0,1.0,3036.0,3.021930038194888e-31,True,True
TPS,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,10.858319853145602,16.0,16.0,3036.0,1.1445110097728317e-27,True,True
TPS,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,309.41582213929473,18.0,20.0,3036.0,0.0,True,True
TPS,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,44.778248995542235,4.0,4.0,3036.0,1.3883434562741342e-36,True,True
TPS,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,2.269837726276514,20.0,20.0,3036.0,0.0010385310178107514,True,True
TPS,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,3.1881727621854696,4.0,4.0,3036.0,0.012672321302888746,True,True
TPS,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,34.824012370158,5.0,5.0,3036.0,9.829716624904338e-35,True,True
Latency,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,595.1852767744466,4.0,4.0,3043.0,0.0,True,True
Latency,Topology,"C(mode, Sum)",HC3 Type-III F,27.303593793910935,4.0,4.0,3043.0,2.6925358189166555e-22,True,True
Latency,Workload,"C(workload, Sum)",HC3 Type-III F,492.67231925757244,5.0,5.0,3043.0,0.0,True,True
Latency,Size,"C(network_size, Sum)",HC3 Type-III F,10.41164424511372,1.0,1.0,3043.0,0.0012655109682374855,True,True
Latency,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,14.525841182803452,16.0,16.0,3043.0,8.54350736136106e-39,True,True
Latency,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,493.3004102013495,18.0,20.0,3043.0,0.0,True,True
Latency,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,41.452321678493476,4.0,4.0,3043.0,6.9613537399848514e-34,True,True
Latency,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,4.963826479968527,20.0,20.0,3043.0,2.891116515847515e-12,True,True
Latency,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,3.137774218892404,4.0,4.0,3043.0,0.013819535590382825,True,True
Latency,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,7.830480776787178,5.0,5.0,3043.0,2.4624540292129394e-07,True,True
Energy,Blockchain,"C(blockchain, Sum)",HC3 Type-III F,0.12877793515001415,4.0,4.0,3043.0,0.9720007666443173,True,True
Energy,Topology,"C(mode, Sum)",HC3 Type-III F,0.1769313355093229,4.0,4.0,3043.0,0.950354164290847,True,True
Energy,Workload,"C(workload, Sum)",HC3 Type-III F,1707.4468153841485,5.0,5.0,3043.0,0.0,True,True
Energy,Size,"C(network_size, Sum)",HC3 Type-III F,0.2326902403041114,1.0,1.0,3043.0,0.6295708864233768,True,True
Energy,Blockchain $\times$ topology,"C(blockchain, Sum):C(mode, Sum)",HC3 Type-III F,0.33967890067438344,16.0,16.0,3043.0,0.9930773917067539,True,True
Energy,Blockchain $\times$ workload,"C(blockchain, Sum):C(workload, Sum)",HC3 Type-III F,0.42848451874153387,18.0,20.0,3043.0,0.9824783363079322,True,True
Energy,Blockchain $\times$ size,"C(blockchain, Sum):C(network_size, Sum)",HC3 Type-III F,0.41121954080525897,4.0,4.0,3043.0,0.8006871695423872,True,True
Energy,Topology $\times$ workload,"C(mode, Sum):C(workload, Sum)",HC3 Type-III F,1.038870436169701,20.0,20.0,3043.0,0.41090123192088723,True,True
Energy,Topology $\times$ size,"C(mode, Sum):C(network_size, Sum)",HC3 Type-III F,0.2702191695051499,4.0,4.0,3043.0,0.8972686637488755,True,True
Energy,Workload $\times$ size,"C(workload, Sum):C(network_size, Sum)",HC3 Type-III F,0.4325388705599482,5.0,5.0,3043.0,0.82616327734872,True,True
